nmax,nmax,nmax,nmax,nmax,krb(0),krb(0),krb(0),krb(0),krb(0),krb(1),krb(1),krb(2),krb(2),krb(2)
5.885903191247246,8.496042353985064,2.1258001885276316,2.1680466915035015,6.011365242504768,-1.167064798168422,-11.741544608421991,-13.49385220493157,-7.9268824683620736,-1.4840728491538826,-3.3451361263919885,-0.18987614640892403,-19.550885194272695,-17.75412292021603,-7.871591509004222
8.385187954004648,3.567199080760899,3.1528997923079687,8.08278219443081,1.5074366846790843,-12.649285313106557,-9.934396470412638,-8.849061380428564,-5.50055837982374,-12.938570103729901,-7.807581540975317,-8.35102908645997,-9.102439596990433,-7.254382466469979,-14.836961495745282
1.7618387822616608,2.0734450483576907,3.02124144388511,5.501781419705067,8.56398475491418,-6.044262492441158,-4.298091976379263,-13.015585083870782,-11.947390541193853,-12.165730468786805,-16.18172363035042,-18.781788502942916,-8.240769752738188,-0.3145879999303389,-16.68008887148977
1.4201633790934638,8.015785136415396,3.273274060162518,8.466794248176356,7.3354300033106385,-1.1810966126889895,-11.862348008442227,-6.826800194932382,-10.749389861815914,-7.451284923559985,-11.052981770446028,-16.24621829616091,-9.89284142153272,-9.481174391394898,-3.868983419622797
7.619686352142231,6.974124615472997,2.0204838599731527,7.485546615973435,5.502746407190633,-2.2074192314874317,-1.6945684108022014,-18.90238384702447,-3.669232948945872,-19.249821930588855,-12.693324448669049,-9.208230485140525,-17.052794107320164,-5.148355129875373,-19.83374138697444
2.5173914359063314,6.227171468681282,7.4294880583356315,9.249787924245245,7.349469867411615,-6.6315925219281695,-12.15261118762178,-19.97443993201665,-17.608830751161122,-9.362364559354821,-6.56491527169605,-11.692779150460398,-5.459487670585036,-9.614940322889643,-18.52389370767319
2.7281462587115395,8.559984009195485,7.524214719619955,9.052857883112456,2.058015242088429,-0.2945715611600299,-15.832806392396321,-19.765580461895823,-0.15128351283427222,-14.406629679642249,-6.706412895000058,-16.484021947891527,-8.453452209237081,-2.009703769554271,-13.628394768174072
7.032285784399233,2.6911322991857487,6.623158588468527,4.028053166357592,2.900874327291565,-13.767677190997661,-16.441062736694793,-2.051869454026132,-12.095980962289136,-15.11894183101009,-11.076683963782935,-13.62133028055074,-5.186056849114815,-0.6727237534786639,-11.283130231716829
8.749300599750164,6.092767662036575,2.4151209858481013,7.215604678732074,5.620910474132381,-7.052930187283142,-2.295220489823869,-11.235352043944683,-2.0665652979746234,-5.061686615795068,-10.276761975028103,-7.995879500406524,-13.520935462871673,-0.42641373519839476,-6.7197118552971205
1.3946216724696692,3.939597151732079,6.609829903831518,1.5069995001931582,1.214957721872285,-11.04451763339673,-13.379465424115867,-11.27785770014,-14.772403133387897,-16.72211683583468,-6.286047196091282,-9.76003478627077,-16.0169311961376,-13.640170417426035,-8.223022637499815
