cfall(0)_pft0,cfall(0)_pft1,cfall(0)_pft2,cfall(0)_pft3,cfall(0)_pft4,cfall(0)_pft5,cfall(1)_pft0,cfall(1)_pft1,cfall(1)_pft2,cfall(2)_pft0,cfall(2)_pft1,cfall(2)_pft2,cfall(2)_pft3,nfall(0)_pft0,nfall(0)_pft1,nfall(0)_pft2,nfall(0)_pft3,nfall(0)_pft4,nfall(0)_pft5,nfall(1)_pft0,nfall(1)_pft1,nfall(1)_pft2,nfall(2)_pft0,nfall(2)_pft1,nfall(2)_pft2,nfall(2)_pft3,krb(0)_pft0,krb(0)_pft1,krb(0)_pft2,krb(0)_pft3,krb(0)_pft4,krb(0)_pft5,krb(1)_pft0,krb(1)_pft1,krb(1)_pft2,krb(2)_pft0,krb(2)_pft1,krb(2)_pft2,krb(2)_pft3,micbnup,kdcrawc,kdcsoma,kdcsompr,kdcsomcr
0.0807145620229372,0.04137099909795916,0.03855784885249996,0.10450120038976139,0.004573931754306545,0.0027384037538597653,0.005215274242747436,0.02745828348641889,0.0002952709713788532,0.0021507570339264395,0.0015365187886485034,0.02003071074543899,0.00086383458494888,9.750834554020967e-07,1.0397948852629843e-05,0.00010348750773403889,1.5021560984406097e-05,0.01307853287102621,0.0014469116716481847,9.945204229836864e-07,1.9390292493709194e-05,0.00016530604745402665,9.79623825274825e-07,1.935130593737723e-06,8.143692104009216e-05,0.006821522403378879,-2.6266737807737144,-1.1359221878509276,-1.421905314866901,-7.968621864906648,-6.449076386692454,-2.3376578041259677,-4.244146867417294,-4.195563880861848,-2.2897895588808788,-2.778949080398575,-4.438435517235552,-3.1203773517636635,-2.320383403153001,0.48996160166977504,0.40125356161199943,0.02465228474482466,0.00496977425494298,5.297173637622384e-07
0.08093883450458465,0.03937225454022406,0.03768570336928212,0.11043760450007307,0.004878261946222641,0.002834210436896364,0.005280985873800324,0.02929527934690713,0.0003028739369918224,0.00208759225742131,0.0015528364021018843,0.019410551990076734,0.0008944174402352072,9.898264770730806e-07,1.0132951845659394e-05,0.00010217089082993077,1.5439918679330426e-05,0.012681402288521153,0.0014298471365670755,1.0297848842262794e-06,1.942981860356184e-05,0.00017303309024657013,1.02680966640221e-06,2.0993480883032635e-06,8.013161692985706e-05,0.006907158678250834,-2.4637263959546756,-1.1006161536653258,-1.3566673203440223,-7.930176748990099,-6.495544138030365,-2.476097935721789,-4.395619984825727,-4.449224175984409,-2.221641968765066,-2.6745138800744552,-4.679969883435912,-3.345867201955945,-2.112778861961519,0.5354850513298718,0.41638410678347965,0.024187428651483944,0.004797748533061756,5.034607599142918e-07
0.08205062760737525,0.039183175366515596,0.03672268666355168,0.10772299217438096,0.004695400415281256,0.0028584671345981095,0.005055161910011998,0.028371025813620204,0.00030022160999055415,0.0021145429014615517,0.0015213292219150565,0.01948113302202077,0.0008610976696941516,9.865779342293257e-07,9.524810138386325e-06,9.500654467834564e-05,1.5408968034740555e-05,0.012914616576947561,0.0014711525312050978,1.0365829278679379e-06,1.920992934855562e-05,0.00017355176130772759,1.0147082692317076e-06,1.995230243589729e-06,8.01674272435021e-05,0.006918530993348425,-2.4198561204139746,-1.1032046869260743,-1.350773005997112,-7.920611365423824,-6.615885688375331,-2.3891112906387213,-4.339677004062867,-4.123377621946388,-2.1775119720082228,-2.6820514177521417,-4.549778934700598,-3.3635005895689125,-2.1358997853601585,0.5055060717176187,0.4120988936260261,0.025611705553193313,0.0049715631146952785,5.207016397752947e-07
0.07916810214470585,0.04046529816320968,0.035587321098534415,0.10423241255177833,0.004479898171194478,0.002851593411741725,0.005092245704551914,0.028833997253581708,0.00029302109886003195,0.0021660069357484525,0.001559584584109127,0.018878964318390794,0.000880976603124406,1.0017730258571272e-06,1.0078334647109424e-05,0.00010274938363965431,1.4728557903911298e-05,0.01308656619425044,0.0014282808492322684,1.0156197691798491e-06,2.006695913845776e-05,0.00016630731088431114,9.966329876843817e-07,2.067627137550174e-06,8.076144991777585e-05,0.006909123669444836,-2.4538066974043375,-1.113646050812586,-1.3331203292448497,-7.999738522578492,-6.402931303223116,-2.3137189788781423,-4.236050964296166,-4.4163216573565265,-2.137672937269725,-2.669409878752868,-4.4515985967389655,-3.386035809141477,-2.102865966039627,0.4958733446041285,0.40437219307707567,0.025088623526192858,0.004867701257726742,5.331826575658479e-07
0.07737436931371203,0.038522877134440685,0.03678771181790298,0.11108673451161104,0.0048798665000570314,0.002790725293574125,0.005413860928782313,0.02884810292231549,0.00030351360193426745,0.0020190393362319826,0.0015549897833335652,0.01993986159637333,0.0009269613955192996,1.01380174914223e-06,9.837417092397557e-06,9.934952867042627e-05,1.5009263070108245e-05,0.012334875765561344,0.0015162075874257158,1.0053684475602047e-06,1.944268056396805e-05,0.00016288522285905807,1.0389222423129597e-06,1.938725284244337e-06,8.021007802299813e-05,0.007182658685183833,-2.445838382585286,-1.0922335447138534,-1.3457893847568887,-7.695281865107054,-6.5540093949062275,-2.3216646520163495,-4.118589099513576,-4.402751256684418,-2.2030046207626333,-2.665505775956121,-4.678977155776102,-3.17990153842547,-2.2193150680425493,0.48830660487053396,0.41096861548665975,0.025352476325016624,0.005152107275893953,5.197457862485517e-07
0.07703566665792787,0.041445672904783716,0.03690431909575545,0.10294499489610999,0.004585529072823414,0.002710976234842983,0.0053640233913133835,0.029125410207551633,0.00029464169062394177,0.0021903786500689997,0.0015174459881794518,0.018967321394149132,0.0009341584547190227,1.0175375886560285e-06,9.916330836892591e-06,0.00010202241541714149,1.5321566000836007e-05,0.013440315089377378,0.001492044700737254,1.0396908344033187e-06,2.0801178011113577e-05,0.00017206930767032244,9.619982165099102e-07,2.0008075974529728e-06,8.19566189655736e-05,0.007337756403906153,-2.5242303724914112,-1.1946920024046337,-1.3361353913708596,-8.08874217128175,-6.639061823652499,-2.369409710740141,-4.129776978163918,-4.158445706859293,-2.1128578136869383,-2.7086890565643778,-4.532793840114372,-3.381736206033227,-2.3066443478144567,0.49433280811666686,0.39459378449821664,0.025147079022472103,0.004856323446612916,5.151225973620819e-07
0.07791152534149072,0.03992337532098083,0.03591436662499902,0.10382885668689873,0.004889149477473298,0.0026992530607344127,0.005104062554216928,0.029743786852809168,0.0002939890969066868,0.0021255946251623145,0.0014615959813463189,0.019150746750636025,0.0009413600986062274,9.896538913211322e-07,1.012718331645989e-05,0.0001000554011135815,1.5748153927324753e-05,0.0128484230989837,0.0014485741848315836,1.0017578184284265e-06,1.926707944764685e-05,0.00017474090486752986,1.0476941546855757e-06,2.0074620042432853e-06,7.68369554429434e-05,0.007071959624285703,-2.470254023812463,-1.1597725293025944,-1.4270235435436285,-7.68673302157641,-6.581606872479384,-2.481002867812412,-4.2657639321095635,-4.374422164642968,-2.2427205709741957,-2.6704692682042936,-4.696738367799134,-3.1914967725646752,-2.295539549932503,0.530229622283287,0.4067764036048029,0.02379246533762534,0.0049241875123435305,5.2503169676364e-07
0.07666645252781489,0.04125448563269796,0.03623757010175055,0.1096451582622001,0.00452553058435656,0.0027773059395202627,0.005377366435485528,0.028271464233367266,0.0003044851611184297,0.002128219983997791,0.0015339757699789063,0.019899893008331424,0.0008603905957771645,9.611638318524207e-07,9.811855007366178e-06,0.00010052041769183403,1.5119102738899335e-05,0.01273380794525841,0.0014465290486505211,9.983094482866914e-07,1.9715359625719937e-05,0.0001642929101026633,9.648328374964615e-07,2.0121461150890065e-06,8.381764025055121e-05,0.006796088985782028,-2.544211758186452,-1.1701214778859446,-1.4170698961633676,-7.991382936246482,-6.628744403552073,-2.2774839686393675,-4.297576639872084,-4.174996292669385,-2.1837723527088833,-2.794790395934713,-4.5371599772765,-3.2687904932125162,-2.2278862783642204,0.5254565930300098,0.4050740994032876,0.024587788121849537,0.004770448540812201,5.379836762062054e-07
0.07442921793018088,0.03914334814774854,0.03680222295805222,0.10420857511073334,0.004636285148497756,0.0029125623240641536,0.005103278149643907,0.027716375164248883,0.00029521045014637787,0.0021151547167934295,0.0014303657661192083,0.019043801131171427,0.0008580889863353505,9.909950360339657e-07,9.679570031514204e-06,9.56418157825883e-05,1.4335919126073566e-05,0.012611453258162333,0.0015543229301457134,1.0202656268667197e-06,2.0138076684693734e-05,0.00017712523782379775,9.659251880666395e-07,2.0579889588025667e-06,7.702240826029936e-05,0.007245061840138848,-2.5662508352384874,-1.0989016845689383,-1.3208906617667944,-7.628318616358182,-6.83875309402315,-2.3853047732553745,-4.331213102878084,-4.219286419185349,-2.1914904298927285,-2.694247344919057,-4.471411433590086,-3.150953764072374,-2.18508285161362,0.5000224926584531,0.41842785339672894,0.025043284682169126,0.004802475149706735,5.354861318792883e-07
0.08154622391905417,0.040549907484901324,0.03873534897827713,0.10311274947823763,0.004802150275057937,0.002709808579467152,0.005248199542456043,0.02835152349165912,0.0002915963375650669,0.0021521057436491757,0.0015381784793690146,0.019397984151010215,0.0009379160562392351,1.027785410942264e-06,9.995382049636273e-06,9.627254251771752e-05,1.5171500537581822e-05,0.012528636504052625,0.0014302284453403475,1.0065287214501336e-06,1.987811823787637e-05,0.00017746424065465065,9.64910803225348e-07,1.909432531457567e-06,7.7409643415672e-05,0.006815448504843731,-2.536362498994318,-1.1550595891839477,-1.3877295754552563,-7.412961814989472,-6.550430824495536,-2.3043002757908826,-4.353705625902713,-4.47855902877262,-2.124027092142034,-2.780857713275611,-4.362636450315251,-3.3099513566912746,-2.1912027250348705,0.49053410287963856,0.4118087701640717,0.024909468436738004,0.004806742429609683,5.282472243333736e-07
