cfall(0)_pft0,cfall(0)_pft1,cfall(0)_pft2,cfall(0)_pft3,cfall(1)_pft0,cfall(1)_pft1,cfall(1)_pft2,cfall(2)_pft0,cfall(2)_pft1,cfall(2)_pft2,krb(0)_pft0,krb(0)_pft1,krb(0)_pft2,krb(0)_pft3,krb(1)_pft0,krb(1)_pft1,krb(1)_pft2,krb(2)_pft0,krb(2)_pft1,krb(2)_pft2,nfall(0)_pft0,nfall(0)_pft1,nfall(0)_pft2,nfall(0)_pft3,nfall(1)_pft0,nfall(1)_pft1,nfall(1)_pft2,nfall(2)_pft0,nfall(2)_pft1,nfall(2)_pft2,micbnup,kdcrawc,kdcsoma,kdcsompr,kdcsomcr
0.021666449986632613,0.04859042993309955,0.017109424473878303,0.004837697044568092,0.0007381171956244812,0.00419807235864208,0.00300712138889194,0.0018899340379989853,0.00687041810430127,0.02046589174512575,-12.587557527023336,-3.8106621939212424,-2.7782640833216266,-4.801598532734346,-5.129908024280165,-6.532328332436893,-6.421588078942855,-7.394746277806406,-3.425544108868159,-2.8203708539982437,0.01164642107873695,0.05807927340407878,0.044145663363827796,0.00705762398912178,0.037066690189545455,0.0008944384562602804,0.008743022756110826,0.0014225610686092486,0.002725161684870033,0.007658748777445974,0.15208636876682058,0.4800630008632669,-0.11453498465867806,0.0009106809564603579,8.223827491963543e-07
0.020987223489522817,0.05004641895425062,0.01866571096088515,0.004885218595706091,0.0007808906130011757,0.004356032034167283,0.0029989287068028694,0.001843630820255209,0.006794597600096005,0.019646782977991634,-12.737075062399391,-3.656468705717967,-2.681341064579023,-4.849823802727573,-4.814513839210422,-6.331996736390626,-6.59357714103946,-7.515421151325135,-3.3339353863103147,-2.9268669680573653,0.011520174528528842,0.061238061483453385,0.04364733917328563,0.006940266829152153,0.0184706689932672,0.0008823935615167808,0.004530518513302537,0.001021799877127652,0.007332053439692843,0.004623763102743731,0.11237973351509577,0.8588714184479616,2.033876134289408,0.0007258973046374425,6.901665768208398e-07
0.02201006285312278,0.047248730154281424,0.017876821135265043,0.004825054791366747,0.0007810772981852109,0.004388922602651728,0.0029136120942654495,0.001944361986876517,0.006631212868460419,0.02064668892295222,-12.509193989685583,-3.7419500006175226,-2.8859857115332153,-4.904336864884191,-5.079270154598223,-6.441490570381069,-6.287310596119901,-7.288461915157701,-3.4969786693978193,-2.817817864297108,0.012033297463517178,0.06077912932376711,0.0427886694010525,0.007452765730641027,0.03315055439907172,0.001313944192883411,0.003425556177198733,0.0011280373719946381,0.00467460323749134,0.01076226207103494,0.15161597147878264,0.6181237173720738,0.011247629455533481,0.0014978685799002835,5.241650458965653e-07
0.020712231638646557,0.04893698233566638,0.018244197793346663,0.005145200026400711,0.0007250507141043092,0.004380639489112606,0.003125317548204974,0.0018580526731983142,0.0071133494909678885,0.019225382902015465,-12.231233797974516,-3.58326895111153,-2.907539341026195,-4.830159691174468,-5.263482003914036,-6.445410024599671,-6.556239109488382,-7.59928774108027,-3.4399943104090176,-2.9448341177737585,0.012221516219908524,0.06168511436768691,0.042961265642465704,0.0069884120512839045,0.0258233005957837,0.0010091179300218969,0.005549775948116409,0.0010671595012255314,0.004412545735257505,0.008173502380376906,0.1536361335977987,0.5799212705169838,-0.2695877599058978,0.0015565495313038706,5.744067509828932e-07
0.020820719371457505,0.05011788832216438,0.017823193661664707,0.0051568999205014125,0.000782668751603042,0.004278546611554026,0.0030972325619474613,0.0019231132357786602,0.00688361541652254,0.019847258545298462,-12.480168435285492,-3.596413433054439,-2.928525538764654,-4.993045385995517,-5.129720405930079,-6.483629018285148,-6.740294754752938,-7.188823275977917,-3.4764892967389134,-2.8229715198311554,0.012112465608826473,0.0604212298311086,0.04469638515770507,0.0070732073449807425,0.033301455784940426,0.0006801571887039618,0.005996355099748046,0.0022223402761720745,0.004069430890777235,0.010187885847254281,0.14208123386868804,0.7986945955201272,1.3659769548031848,0.0008164709530124396,5.997794969859441e-07
0.02040976403309436,0.0499013021652287,0.01772301319420144,0.004805729439998976,0.0007237855169026499,0.004255661449188096,0.0030928644213453656,0.0019088097123062411,0.006660987066348368,0.020866083411456477,-12.79456184241696,-3.5575266297500017,-2.7173559414393313,-4.9325288156922245,-4.966086969066536,-6.184632359948423,-6.474556405836344,-7.249162458925419,-3.4944857925163544,-2.9539988555658843,0.011655111404391145,0.0586104024179533,0.042759778050665775,0.007005820185854115,0.036419301474926245,0.0009713479326423262,0.00390705390425273,0.0018938399483117323,0.0035400031405345223,0.004940113816943083,0.10369238491809894,0.4304452198298161,-1.7482872432013121,0.0014521473517830727,4.7083627280239725e-07
0.020284951815573157,0.04719498212362672,0.017235808254182253,0.0048035565386533325,0.0007317367737491147,0.0043319711844077265,0.002919147875545636,0.0018809192702821465,0.006702497935275955,0.020258737205439446,-12.755669600722673,-3.634877023408247,-2.76689445505966,-5.000825052606543,-5.007372408895659,-6.438342200288291,-6.496151525194678,-7.284102442557052,-3.512724216383194,-2.841690434351872,0.012486665115761592,0.057962884433666026,0.04135053328329933,0.006802488149780697,0.033499804838987096,0.0015026714253996345,0.0033548796167040163,0.0017066792828735564,0.004221909759365917,0.011120722015053989,0.13556282110520546,0.4445147273194583,0.6655270325858402,0.0008656234524315901,4.933001504023348e-07
0.020401507908724168,0.0490206063142504,0.017820554739968072,0.005079440849677218,0.0007396850488800469,0.004475287115608951,0.002980457922579366,0.0019163465627631115,0.006533501711371383,0.019630541947295674,-12.448353374226592,-3.787133772155195,-2.9198192380898673,-5.01859046467141,-5.127416846076363,-6.0409249586275955,-6.374347852231121,-7.178215276116889,-3.3749327171793455,-2.8977813744790524,0.011556503510370348,0.06255493440120496,0.04505140721994689,0.007343319632238136,0.04074931994800968,0.0006501599569257176,0.006527725462400361,0.0018722461075211245,0.003922350801805453,0.007632559540021674,0.15641029646863247,0.5253080861554272,-1.730568259062449,0.001050759540223163,6.958465583621641e-07
0.02086571717706574,0.04645308471309187,0.017513766422121223,0.004823925130132378,0.0007681042795573328,0.004162781241244575,0.0031037292410869,0.0018992679688600027,0.006535070005890536,0.01970780989034137,-11.971639475895294,-3.611507884789596,-2.715597858724289,-4.875161674843225,-5.028363119185332,-6.072412479633,-6.099919865623528,-7.114220971688647,-3.6280324350459545,-2.824622577344142,0.011974170578040934,0.06264661584696166,0.04148355705803857,0.006995489925298946,0.019317058305089358,0.0007848223909990264,0.0034750930919731867,0.0020981577514418213,0.007541100441207971,0.01203130573126492,0.08485201625816613,0.8730033824246735,2.112002875755159,0.0007528373726016254,3.6197959418376885e-07
0.021883040879020793,0.04577730157031857,0.017460646655614698,0.004779171950085755,0.0007282541623932078,0.004490471409364896,0.002941503950020418,0.0019175792783429246,0.0069038573836563664,0.020472064267831245,-12.574697070302802,-3.689727322925192,-2.6966757360661413,-4.934367083686515,-5.2308338622918695,-6.406063941388897,-6.128556645393867,-7.072570037076249,-3.6579227215167607,-2.8809897760240326,0.011504962998170925,0.058213997871101805,0.04152140432255057,0.006882936331761345,0.01981395198239486,0.0013453835199318661,0.006693729045928019,0.0011644228696480504,0.0035342866968118706,0.0074960411539344695,0.11278005629066035,0.33613113545715867,2.101890124289118,0.0009658716627997413,4.57529061799627e-07
