cfall(0)_pft0,cfall(0)_pft1,cfall(0)_pft2,cfall(2)_pft0,nfall(0)_pft0,nfall(0)_pft1,nfall(0)_pft2,nfall(2)_pft0,krb(0)_pft0,krb(0)_pft1,krb(0)_pft2,krb(2)_pft0,micbnup,kdcrawc,kdcsoma,kdcsompr,kdcsomcr
0.0463854210360789,0.047829861080635104,0.051357316137239255,0.22323131137332392,9.768367883872242e-05,9.679040849825916e-05,0.0010070329638249681,0.006655771769457573,-0.7515029099518146,-0.5713254565438103,-0.2974663444845176,-0.9736033593224105,0.7787189400210542,0.6356461680854328,0.12836041365028603,0.028485369476616146,9.525878023336704e-07
0.04497918968496408,0.044946128659401244,0.05010312870189178,0.23342744571261304,0.00010369755660842297,0.00010094486283547087,0.0010276393609346677,0.007099645448720114,-0.7509786297456429,-0.5896239957945283,-0.31757332958596324,-1.0270528142326654,0.7562318310519645,0.6292610810935655,0.12662387760725516,0.02997588440296172,9.960842449474139e-07
0.047423135770360635,0.04481686607883598,0.04795067280816425,0.22647736632912907,0.00010060057999542469,0.0001018551114337103,0.0009580867387419818,0.006769468225285215,-0.7628055871409358,-0.5815256935619573,-0.32165803850822633,-1.0221981322271303,0.745566827592986,0.639772432617022,0.1237171230001276,0.02892478773255297,1.0281944756877909e-06
0.04825577361334511,0.04435430391807109,0.04741066206412158,0.23379136286092886,9.910249824488314e-05,0.00010160134463365266,0.0009942823725322615,0.007009637711009525,-0.7377263631192816,-0.578335247677468,-0.29599931731845924,-0.9901096042592172,0.782585389844282,0.6375504367191182,0.13509991253830306,0.029557478540106253,1.0252154003324665e-06
0.046359001022060996,0.04767536746484665,0.049056786424655975,0.23910186661377403,0.00010373470494505466,9.888143996305808e-05,0.0009938921247885065,0.0066503356171121785,-0.7367525575373312,-0.595232867447186,-0.31568253217764325,-0.9735600931334751,0.7258330725041234,0.6538976964478865,0.13031521811882088,0.02821738922040022,9.749318274262773e-07
0.045176832404435194,0.04421705500072472,0.05163978908931347,0.23393448853780918,9.823714671448754e-05,0.00010396936528914752,0.0010339838634404503,0.0068473603946232735,-0.74187047709344,-0.5538839330844264,-0.31450761614234135,-1.0108023771043007,0.7538146302419981,0.6446927952221292,0.13007043503869878,0.029172478494646336,1.0147944868285023e-06
0.04499916099009735,0.043738803786474725,0.04912088065857066,0.2231949566361579,9.898615431247033e-05,0.0001043919038264683,0.0009728129334550517,0.006912835010770681,-0.7308083804616614,-0.5794158892697256,-0.3055353783435197,-0.9415695530188001,0.7402389614821271,0.6548714275428025,0.1269702519406737,0.029740322189686398,1.049865154090845e-06
0.04404313432361241,0.04399545135887867,0.047933644941365344,0.23279286989202977,9.91395403443519e-05,9.770312120644809e-05,0.0010409330249101906,0.007069834411163389,-0.729126414851391,-0.6024219627216867,-0.3232297161428196,-0.9898123329925055,0.7423138802938418,0.6500603161331613,0.12794377060858936,0.028293902872492994,1.0137916462617435e-06
0.04549078707445183,0.04660836282140025,0.050100279286115657,0.23575534087508848,0.00010153559022240036,0.00010463297672569084,0.0009860292548729086,0.0069763321029945955,-0.769227679362012,-0.5830626194501495,-0.319025212453302,-0.9662903318043383,0.7581288400592319,0.6374181345677582,0.12896360440800214,0.029520734662223436,1.0073254844298912e-06
0.047950158753942485,0.04500408493826739,0.04924373834182515,0.22548563829387683,9.92930180980941e-05,9.509657577896194e-05,0.0010305378983294533,0.006732461131596279,-0.7503668637849161,-0.5835443974962382,-0.32208061768105894,-0.9680529797765309,0.7497933016102665,0.664968576677186,0.1312787067152556,0.02992802200352642,1.0076742030298725e-06
